DeliveryID;SubscriptionID;DeliveryType;DeliveryClass;DeliveryContext;StartDate;EndDate
645;1000687;MD;NOR;;13/02/2010;14/08/2010
837;1000823;MD;NOR;ACH;30/01/2010;27/02/2010
1012;1001004;MD;NOR;PCH;30/01/2010;24/02/2010
1013;1001004;MD;NOR;PCH;06/03/2010;09/03/2010
1014;1001004;DI;;VAC;25/02/2010;05/03/2010
1116;1001130;MD;NOR;REN;13/02/2010;13/03/2010
1441;1001564;MD;NOR;;16/01/2010;13/02/2010
1895;1002005;MD;NOR;;14/02/2010;14/02/2011
1898;1002008;MD;NOR;;31/01/2010;06/08/2010
1899;1002008;MD;NOR;;14/08/2010;31/01/2011
1900;1002008;DR;NOR;VAC;07/08/2010;13/08/2010
1970;1002058;MD;NOR;REN;14/02/2010;25/02/2010
2034;1002109;MD;NOR;REN;14/02/2010;16/08/2010
2101;1002158;MD;NOR;PCH;14/02/2010;16/08/2010
2144;1002186;MD;NOR;ACH;31/01/2010;30/04/2010
2535;1002478;MD;NOR;PCH;05/02/2010;05/03/2010
2763;1002688;MD;NOR;;19/01/2010;30/01/2010
2764;1002688;MD;ABN;;18/01/2010;18/01/2010
3604;1003246;MD;NOR;PCH;17/02/2010;16/02/2011
3664;1003293;MD;NOR;;17/02/2010;16/02/2011
3779;1003383;DR;NOR;VAC;06/07/2010;04/08/2010
3780;1003383;MD;NOR;PCH;18/02/2010;05/07/2010
3781;1003383;MD;NOR;PCH;05/08/2010;17/02/2011
3995;100353;MD;NOR;;01/01/2008;30/12/2008
4007;100354;MD;NOR;;02/01/2007;31/12/2007
4289;1003709;MD;NOR;;16/02/2010;18/05/2010
4407;1003796;MD;NOR;REN;17/02/2010;19/05/2010
4767;1004091;MD;NOR;REN;03/02/2010;03/03/2010
4783;1004104;MD;NOR;ACH;02/02/2010;02/03/2010
4860;100416;MD;NOR;;09/12/2007;08/12/2008
4869;100417;MD;NOR;;09/12/2006;08/12/2007
5009;1004282;MD;ABN;;20/01/2010;20/01/2010
5010;1004282;MD;NOR;;21/01/2010;17/02/2010
5128;1004365;MD;NOR;PCH;04/02/2010;04/03/2010
5266;100450;DR;NOR;VAC;07/07/2008;20/07/2008
5267;100450;DR;NOR;VAC;22/06/2009;01/07/2009
5268;100450;MD;NOR;;01/07/2008;06/07/2008
5269;100450;MD;NOR;;21/07/2008;21/06/2009
5278;100451;DR;NOR;;19/09/2007;25/09/2007
