FormulaID;FormulaCode;FormulaType;Duration
10020;0004;CAM;3
10023;0011;CAM;3
1003;0777;CAM;12
10036;0016;CAM;3
1004;0777;CAM;12
10054;0005;CAM;3
10055;0005;CAM;3
1009;0777;REG;1
10103;5005;CAM;3
10124;0199;CAM;12
10136;0013;CAM;6
10137;0013;CAM;6
10141;0013;CAM;6
1016;0777;REG;3
1020;0777;REG;6
1021;0777;REG;6
1026;0070;CAM;12
1027;0070;CAM;12
10463;0005;CAM;1
10464;0005;CAM;1
10539;2049;CAM;6
10699;2051;CAM;1
10702;2051;CAM;3
10709;2051;REG;3
10943;2095;CAM;1
10946;2095;CAM;3
10954;2095;CAM;3
10961;2095;REG;3
10964;2095;CAM;1
10967;2095;CAM;3
10975;2095;CAM;3
10982;2095;REG;3
1100;0073;REG;6
112;0005;REG;3
11211;0013;CAM;1
11232;0013;CAM;1
1134;0075;CAM;3
1144;0075;REG;6
11503;2111;CAM;1
11524;2111;CAM;1
116;0005;REG;6
11730;0013;CAM;6
1177;0076;REG;3
11910;2112;CAM;1
11917;2112;CAM;3
11924;2112;REG;3
1193;0077;REG;3
1198;0077;REG;6
12038;2080;CAM;3
1209;0078;CAM;3
121;0005;REG;12
12135;2115;CAM;6
1214;0078;REG;3
12151;2113;CAM;3
122;0005;REG;12
123;0005;REG;12
12422;2119;CAM;1
12429;2119;CAM;3
12436;2119;REG;3
12536;2120;CAM;1
12608;0013;CAM;6
1265;0079;REG;3
1281;0080;CAM;3
12867;2051;CAM;1
1287;0080;REG;3
1296;0080;REG;12
13158;2125;CAM;1
1319;0081;REG;6
1325;0081;REG;12
13315;2081;CAM;3
13443;2120;CAM;1
13449;2051;CAM;1
13510;2051;CAM;1
13706;2051;CAM;1
13748;2127;CAM;3
13772;2051;CAM;1
14034;2051;CAM;6
14407;0001;REG;12
14408;0002;REG;12
14553;0014;REG;12
14561;0082;REG;12
148;0010;REG;3
14827;2095;REG;3
149;0010;REG;3
150;0010;REG;3
1504;9000;REG;12
1505;9000;REG;12
15050;0018;REG;3
15051;0018;REG;6
15052;0018;REG;12
15066;0070;CAM;12
151;0010;REG;3
15150;0077;REG;3
1518;0200;REG;3
1528;0200;REG;12
1529;0210;REG;1
153;0010;REG;6
1530;0210;REG;0
1533;9000;REG;3
1534;9000;REG;3
1568;0011;CAM;1
1569;0011;CAM;1
1572;0011;CAM;3
158;0010;REG;12
1585;0003;CAM;3
1586;0003;CAM;3
159;0010;REG;12
1600;0001;CAM;3
1601;0001;CAM;3
1607;0001;REG;3
16077;0002;REG;1
1608;0001;REG;3
1611;0001;CAM;6
1612;0001;CAM;6
1617;0001;REG;6
1618;0001;REG;6
1621;0001;CAM;12
1622;0001;CAM;12
1626;0001;REG;12
1627;0001;REG;12
1628;0001;REG;12
1651;0016;CAM;3
16529;2051;CAM;1
16620;0018;REG;1
1666;0013;CAM;3
1668;0013;CAM;3
1672;0013;CAM;3
1673;0013;CAM;3
1678;0013;REG;3
1679;0013;REG;3
1684;0071;CAM;3
1685;0071;CAM;3
16997;2111;CAM;1
1701;0004;CAM;3
1718;0076;CAM;3
17240;9000;REG;1
1734;0077;REG;6
1735;0077;REG;6
1739;0077;REG;12
1740;0077;REG;12
1743;0077;CAM;12
1744;0077;CAM;12
1748;0077;REG;12
1749;0077;REG;12
1801;0005;REG;12
1816;0005;REG;6
1861;0012;CAM;3
1881;0012;CAM;3
1930;9000;REG;3
1933;9000;REG;12
1934;9000;REG;12
1938;0080;CAM;3
2002;0012;CAM;3
2048;0003;REG;3
2055;0003;REG;12
2056;0003;REG;12
2057;0003;REG;12
2061;0003;CAM;3
2071;0003;REG;6
2075;0003;REG;12
2076;0003;REG;12
2106;0001;CAM;3
2138;0082;CAM;3
2139;0082;CAM;3
2144;0082;REG;3
2145;0082;REG;3
2149;0082;CAM;6
2154;0082;REG;6
2155;0082;REG;6
2158;0082;CAM;12
2159;0082;CAM;12
2164;0082;REG;12
2165;0082;REG;12
2169;0777;REG;1
2173;0777;REG;3
2174;0777;REG;3
2178;0777;REG;6
2183;0777;CAM;12
2184;0777;CAM;12
2187;0777;REG;12
2188;0777;REG;12
2189;0777;REG;12
2243;0013;CAM;3
2293;0013;CAM;3
2294;0013;CAM;3
2343;0013;CAM;3
2497;0200;REG;3
2512;0989;CAM;3
2527;0110;REG;12
2529;0110;REG;12
2532;0110;REG;6
2537;0110;REG;3
2538;0110;REG;3
254;0001;REG;1
2541;0076;REG;3
2542;0076;REG;3
273;0002;REG;3
2730;0199;CAM;3
278;0002;REG;6
279;0002;REG;6
281;0002;REG;12
282;0002;REG;12
2836;0014;CAM;3
284;0002;REG;12
2867;0014;CAM;12
2868;0014;CAM;12
2873;0014;REG;12
288;0001;REG;3
289;0001;REG;3
290;0001;REG;3
293;0001;REG;6
294;0001;REG;6
295;0001;REG;6
2968;0082;CAM;12
297;0001;REG;12
298;0001;REG;12
299;0001;REG;12
2991;0082;CAM;6
2995;0082;REG;6
2997;0082;CAM;3
300;0001;REG;12
3002;0082;REG;3
3018;0076;REG;12
3142;0012;CAM;3
3178;0001;CAM;3
3180;0001;CAM;3
3190;0003;CAM;3
3191;0003;CAM;3
3198;0003;REG;3
3228;0006;CAM;3
3253;0199;CAM;12
3259;0199;REG;12
3273;0985;CAM;3
3285;0013;CAM;3
33;0002;CAM;6
3301;0199;CAM;6
3305;0199;REG;6
3367;0001;CAM;12
3372;0001;REG;12
3387;0014;CAM;12
3393;0210;REG;1
3394;0210;REG;0
3396;0200;REG;0
3464;0987;CAM;1
3472;0777;CAM;6
3476;0777;REG;6
3509;2000;CAM;3
3518;2000;CAM;6
3525;5003;CAM;1
3526;5003;CAM;3
3530;5003;CAM;3
3536;5003;REG;3
3583;5004;CAM;1
3593;5004;CAM;1
3594;5004;CAM;3
3630;5005;CAM;3
372;0016;REG;12
3782;2011;CAM;1
3791;2011;CAM;3
3795;2012;CAM;1
3796;2012;CAM;3
3800;2012;CAM;3
3813;2013;CAM;1
3823;5003;CAM;1
3824;5003;CAM;3
3826;5003;CAM;3
3831;5003;REG;3
3833;2014;CAM;1
3834;2014;CAM;3
3873;0005;REG;3
3888;0005;REG;6
3889;0005;REG;6
3894;0005;CAM;6
39;0002;REG;6
3903;0005;REG;12
3904;0005;REG;12
3919;0005;REG;12
3930;0005;REG;6
3941;0005;REG;3
3978;2016;CAM;3
40;0002;REG;6
400;0017;CAM;3
4028;2017;CAM;3
4068;9000;REG;1
410;0017;REG;6
4112;0005;REG;3
4157;0005;REG;3
4192;0199;CAM;6
4199;2020;CAM;3
4217;2020;CAM;3
4219;2020;CAM;3
4243;0082;CAM;6
4248;0082;REG;6
4278;2023;CAM;3
4286;2023;CAM;3
4294;2024;CAM;1
4295;2024;CAM;3
4304;2025;CAM;1
4305;2025;CAM;3
4351;2028;CAM;3
4369;2029;CAM;1
4379;2029;CAM;1
4414;0992;CAM;6
4419;0992;CAM;12
4430;2032;CAM;1
4431;2032;CAM;3
4438;2032;REG;3
4573;2040;CAM;3
4654;2043;CAM;1
4688;2044;REG;1
4689;0199;CAM;12
471;0012;CAM;3
4762;0070;CAM;12
4790;0071;CAM;3
4823;2032;CAM;3
4833;2040;CAM;3
4844;2042;CAM;1
4847;0005;CAM;1
4849;0082;CAM;12
4856;0082;CAM;6
4861;0082;REG;6
4863;0082;CAM;3
4869;0082;REG;3
487;0012;REG;12
4908;0001;CAM;3
4909;0003;CAM;3
4910;0006;CAM;3
4911;0013;CAM;3
4923;0001;REG;12
4924;0002;REG;12
4925;0001;REG;6
4926;0002;REG;6
4927;0001;REG;3
4928;0002;REG;3
493;0012;CAM;3
4963;0003;REG;3
4964;0003;REG;6
4965;0003;REG;12
4978;0777;REG;12
5018;0110;REG;12
5067;0014;REG;12
5074;0082;REG;12
5077;0082;REG;6
5078;0082;REG;3
5095;0001;REG;3
5096;0003;REG;3
5100;0006;REG;3
5104;0082;REG;3
5115;0001;REG;12
5117;0014;REG;12
5122;0777;REG;6
5140;5003;REG;3
5143;0005;REG;12
5145;0005;REG;6
5147;0005;REG;3
515;0012;CAM;3
5164;0199;REG;6
5171;2025;REG;3
5173;0082;REG;3
5179;0992;REG;6
5196;2043;REG;3
5204;0777;CAM;12
5246;0014;CAM;12
5256;0082;CAM;12
5259;0082;CAM;6
526;0012;REG;6
5260;0082;CAM;3
5271;0001;CAM;3
